"mechanism_name","file_or_path","category","status","active_on_current_main_stage_a_path","why_it_looks_enabled","why_it_is_not_effectively_active","evidence","confusion_risk","deletion_safety","recommendation","notes"
"HM3D Tier-2 auto enablement","config/hm3d.yaml; boxfusion/tier2_enablement.py","room_segmentation_repair_policy","conditional-but-currently-disabled","no","HM3D config sets `tier2_enablement_mode: auto` and provides a concrete `tier2_policy_artifact` path.","Auto mode refuses to enable when the policy artifact file is missing; this workspace has no `analysis/` directory, so the configured artifact path is absent.","`config/hm3d.yaml:35-48`; `boxfusion/tier2_enablement.py:204-220`; repository check showed `analysis/` is absent.","high","medium","keep-but-mark-dormant","Looks on in config but is effectively off in this workspace."
"Legacy demo.py entrypoint","README.md; demo.py; stage_a_demo.py","entrypoint","active-only-on-legacy-path","no","README still advertises `python demo.py ...`, and `demo.py` remains runnable.","The current paper-safe main path is `stage_a_demo.py`, and `demo.py` still contains an old absolute CLIP path.","`README.md:57-59`; `README.md:127-142`; `stage_a_demo.py:185-260`; `demo.py:2275-2288`.","high","low","keep-as-legacy","This is the strongest repo-level entrypoint confusion source."
"Root-level CLIP checkpoint fallback","models/open_clip_pytorch_model.bin; stage_a_demo.py; README.md","model_asset_fallback","fallback-only","no","README shows a root-level CLIP checkpoint, and older code defaults also point there.","The wrapper now resolves `./models/ViT-B-32/open_clip_pytorch_model.bin` first, and that preferred file exists in this workspace.","`stage_a_demo.py:40-49`; `README.md:49-59`; `find models -maxdepth 3 -type f`.","medium","low","keep-as-legacy","Still useful for older setups, but not the current first-choice Stage-A asset."
"Legacy text-feature tensor fallback","data/class_features.pt; stage_a_demo.py","text_feature_fallback","fallback-only","no","It is present on disk and remains in the wrapper candidate list.","The wrapper prefers `./data/class_features_small.pt`, which is present; the wrapper also rebuilds mismatched features automatically.","`stage_a_demo.py:54-83`; `stage_a_demo.py:88-131`; `ls data`.","medium","medium","keep-but-mark-dormant","Looks current because the file exists, but it is not the preferred tensor on the current wrapper path."
"SegFormer checkpoint package plus SceneSegmenter","models/segformer-b0-finetuned-ade-512-512/; boxfusion/segmentor.py","model_asset_and_loader","present-but-unreferenced","no","The repo contains a full checkpoint package and a loader class that defaults to that path.","No runnable Stage-A import/call site was found for `SceneSegmenter`; repo-wide references were limited to the defining file and existing docs.","`boxfusion/segmentor.py:7-48`; repo-wide search for `SceneSegmenter`/`segmentor` found no runnable Stage-A call site.","high","medium","safe-to-delete","Delete only after one human confirmation that no off-repo workflow still uses it."
"gen_features.py helper","gen_features.py; stage_a_demo.py","helper_script","present-but-unreferenced","no","It writes the familiar `./data/class_features_small.pt` artifact name.","It is not called on the runtime path, uses an old absolute CLIP path, and the wrapper can rebuild text features itself.","`gen_features.py:7-12`; `stage_a_demo.py:88-131`; no runtime call site found.","medium","medium","keep-but-mark-dormant","Reasonable to keep only as a manual helper if anyone still uses it."
"Service sidecar shadow export","boxfusion/sidecar_exporter.py; boxfusion/runtime_export_coordinator.py","sidecar_export","service-shadow-only","no","Dedicated exporter/coordinator code makes it look like an alternate export backend.","The payload and coordinator notes explicitly mark it non-authoritative and say the synchronous exporter remains authoritative.","`boxfusion/sidecar_exporter.py:79-156`; `boxfusion/runtime_export_coordinator.py:250-260`.","high","low","unclear-needs-human-review","Repository intent is clear on non-authority but future maintenance intent is unclear."
"ROS simulation ingress stub scene-root writer","boxfusion/ros_simulation_ingress.py","simulation_adapter_fallback","fallback-only","no","It writes canonical-looking files such as `topology_v0_1.json`, lifecycle JSON, working topology JSON, and `summary.json`.","The real backend path shells out to `stage_a_demo.py`; the stub writes thin placeholder/minimal surfaces and defers working-vs-committed detail.","`boxfusion/ros_simulation_ingress.py:1098-1145`; `boxfusion/ros_simulation_ingress.py:1078`; `boxfusion/ros_simulation_ingress.py:1661`.","high","low","unclear-needs-human-review","Easy to mistake for the actual producer because it writes the same filenames."
"Working/withheld topology debug surface","boxfusion/stage_a_demo.py; boxfusion/ros_query_server.py; boxfusion/online_topology_lifecycle.py","debug_topology_surface","debug-only","no","File names such as `working_topology_v0_1.json` and `working_vs_committed_topology_report_v0_1.json` look like normal topology products.","They are rich debug artifacts only; the public query server explicitly rejects working topology as public input.","`boxfusion/stage_a_demo.py:1407-1490`; `boxfusion/ros_query_server.py:361-367`; `boxfusion/online_topology_lifecycle.py:640-705`.","high","low","keep-but-mark-dormant","Should be visibly labeled non-authoritative everywhere it appears."
"Readonly tail reference audit","stage_a_demo.py; demo.py; boxfusion/runtime_artifact_policy.py","audit_probe","conditional-but-currently-disabled","no","It has first-class CLI flags in both wrapper and legacy entrypoints.","It is disabled by default, and service policy forces `readonly_tail_reference_audit=False`.","`stage_a_demo.py:503-506`; `demo.py:2194-2200`; `boxfusion/runtime_artifact_policy.py:84-121`.","medium","medium","keep-but-mark-dormant","Useful as a probe, but not part of normal runtime behavior."
"Broad-history baseline","stage_a_demo.py; demo.py","ablation_path","legacy-or-ablation-only","no","It is exposed as a normal CLI choice and handled explicitly by the runtime.","Default behavior is `selective_floor_aware`; `broad_history` is an ablation/baseline that disables selective pruning.","`stage_a_demo.py:492-497`; `demo.py:223-229`; `demo.py:555-557`.","medium","low","keep-but-mark-dormant","Should be described as an ablation path, not as the main backend policy."
"Optional demo/showcase artifact family","boxfusion/runtime_artifact_policy.py; boxfusion/stage_a_demo.py","artifact_family","conditional-but-currently-disabled-in-core-service","no","Recorder code contains many writers for replay/video, scene-graph visuals, revisit outputs, GraphML, and related artifacts.","These are artifact-only layers, not authoritative backend surfaces, and they are automatically disabled when `core_only` or service mode is active.","`boxfusion/runtime_artifact_policy.py:84-143`; `boxfusion/stage_a_demo.py:734-745`; `boxfusion/stage_a_demo.py:1180-1270`.","medium","low","keep-but-mark-dormant","They can be active in full benchmark/debug runs, but they are not part of the core committed/public backend."
"Archive Stage-A showcase scripts","archive/","archive_entrypoints","legacy-only","no","The repo still contains multiple runnable-looking Stage-A showcase Python scripts.","They live under `archive/` and are not the current Stage-A wrapper or backend entrypoint.","`archive/stage_a_end_to_end_showcase.py`; `archive/stage_a_execution_showcase.py`; `archive/stage_a_showcase_bundle.py`; archive file listing.","medium","medium","keep-as-legacy","Historical/showcase material should be visibly quarantined."
