change_or_output_name,type,enabled_or_generated,scene_id,timing_delta_sec,notes
stage5_candidate_floor_assignment_eval_mean_before,measurement,yes,00843-DYehNKdT76V,0.0,"Full adopted-path baseline at stage_a_eval/output/server_slow_candidate_indices_before_full/00843-DYehNKdT76V. Mean narrow floor-assignment bucket = 0.112976 s."
stage5_candidate_floor_assignment_eval_mean_after,measurement,yes,00843-DYehNKdT76V,-0.050434,"Full adopted-path optimized run at stage_a_eval/output/server_slow_candidate_indices_after_full/00843-DYehNKdT76V. Mean narrow floor-assignment bucket = 0.062542 s."
stage5_candidate_floor_assignment_eval_p95_delta,optimization,yes,00843-DYehNKdT76V,-0.148347,"P95 of the narrow floor-assignment bucket dropped from 0.302613 s to 0.154266 s."
stage5_candidate_readonly_room_lookup_mean_delta,measurement,yes,00843-DYehNKdT76V,-0.000003,"Readonly room lookup remained negligible: 0.000358 s before vs 0.000355 s after."
stage5_candidate_mask_prep_mean_delta,optimization,yes,00843-DYehNKdT76V,-0.048155,"Broader Stage-5 candidate-mask prep mean dropped from 0.118338 s to 0.070183 s."
stage5_total_mean_delta,optimization,yes,00843-DYehNKdT76V,-0.033357,"Stage-5 total mean dropped from 0.280521 s to 0.247164 s."
stage5_candidate_index_cache_keep_recommendation,optimization,yes,00843-DYehNKdT76V,-0.050434,"Keep the optimization. The maintained per-object floor-assignment cache reduced the validated hotspot materially without changing public semantics. Opt-out switch: BOXFUSION_STAGE5_CANDIDATE_INDEX_CACHE=0."
full_run_duration_delta_observed,measurement,yes,00843-DYehNKdT76V,-319.542,"Observed full-run duration dropped from 773.297 s to 453.755 s on the back-to-back A/B runs."
advisor_bundle_00843,advisor_bundle,yes,00843-DYehNKdT76V,0.0,"Generated from spec demo/room_graph_vln_advisor_bundle_20260417.json into runtime_stage1_frozen_evidence/advisor_demo_bundle_20260417/00843-dyehnkdt76v."
advisor_bundle_00824,advisor_bundle,yes,00824-Dd4bFSTQ8gi,0.0,"Generated from spec demo/room_graph_vln_advisor_bundle_20260417.json into runtime_stage1_frozen_evidence/advisor_demo_bundle_20260417/00824-dd4bfstq8gi."
advisor_bundle_00862,advisor_bundle,yes,00862-LT9Jq6dN3Ea,0.0,"Generated from spec demo/room_graph_vln_advisor_bundle_20260417.json into runtime_stage1_frozen_evidence/advisor_demo_bundle_20260417/00862-lt9jq6dn3ea."
advisor_bundle_00829,advisor_bundle,yes,00829-QaLdnwvtxbs,0.0,"Generated from spec demo/room_graph_vln_advisor_bundle_20260417.json into runtime_stage1_frozen_evidence/advisor_demo_bundle_20260417/00829-qaldnwvtxbs."
