step,expected_path,exists,file_type,file_size_bytes,last_modified_time,validation_status,notes
Step 8,docs/step8_visualization_caption_semantics_refinement.md,true,markdown,10774,2026-04-25T09:28:06+08:00,present_not_machine_checked,
Step 8,docs/step8_visualization_caption_semantics_refinement.csv,true,csv,4739,2026-04-25T09:28:06+08:00,valid_csv,rows=10 columns=9 column_names=item_id|category|file_or_output|change_type|before_semantics|after_semantics|paper_safety_note|validation_status|notes
Step 8,runtime_stage1_frozen_evidence/step8_visualization_caption_semantics_refinement,true,directory,4096,2026-04-25T09:26:26+08:00,present_directory,entries_recursive=35
Step 9,docs/step9_bev_code_working_principle_audit.md,true,markdown,23985,2026-04-25T09:37:58+08:00,present_not_machine_checked,
Step 9,docs/step9_bev_code_working_principle_audit.csv,true,csv,13424,2026-04-25T09:37:58+08:00,valid_csv,rows=20 columns=16 column_names=item_id|category|path|symbol_or_file|observed_role|input_requirements|output_products|coordinate_frame_notes|dependency_notes|ros_gazebo_relevance|boxfusion_artifact_relevance|integration_category|paper_safety_status|risk_level|recommended_action|evidence_note
Step 10,docs/step10_minimal_gazebo_ros_bridge_plan.md,true,markdown,32716,2026-04-25T09:50:53+08:00,present_not_machine_checked,
Step 10,docs/step10_minimal_gazebo_ros_bridge_plan.csv,true,csv,12951,2026-04-25T09:51:47+08:00,valid_csv,rows=34 columns=13 column_names=item_id|category|artifact_or_component|proposed_role|required_input|proposed_output|coordinate_frame|ros_topic_or_service|gazebo_relevance|paper_safety_status|implementation_risk|step11_action|notes
Step 10,docs/step10_ros_interface_contract.json,true,json,6175,2026-04-25T09:52:18+08:00,valid_json,top_level=dict
Step 10,docs/step10_route_to_waypoint_contract.json,true,json,4151,2026-04-25T09:52:39+08:00,valid_json,top_level=dict
Step 11,boxfusion/ros_artifact_bridge.py,true,python,35657,2026-04-25T10:07:44+08:00,valid_python_compile,
Step 11,boxfusion/route_to_waypoints.py,true,python,23045,2026-04-25T10:14:09+08:00,valid_python_compile,
Step 11,tools/validate_ros_bridge_artifact_contract.py,true,python,10804,2026-04-25T10:39:24+08:00,valid_python_compile,
Step 11,boxfusion/ros_artifact_marker_publisher.py,true,python,11382,2026-04-25T10:12:57+08:00,valid_python_compile,optional wrapper if implemented
Step 11,boxfusion_ros_query_server/launch/artifact_marker_publisher.launch.py,true,python,2452,2026-04-25T10:13:47+08:00,valid_python_compile,optional launch wrapper if implemented
Step 11,docs/step11_minimal_ros_rviz_bridge_implementation.md,true,markdown,9554,2026-04-25T10:40:42+08:00,present_not_machine_checked,
Step 11,docs/step11_minimal_ros_rviz_bridge_implementation.csv,true,csv,6926,2026-04-25T10:41:13+08:00,valid_csv,rows=15 columns=13 column_names=item_id|category|file_or_output|implemented_role|input_artifact|output_product|coordinate_policy|ros_dependency|gazebo_dependency|paper_safety_status|validation_status|risk_level|notes
Step 11,runtime_stage1_frozen_evidence/step11_ros_bridge_validation,true,directory,4096,2026-04-25T10:42:21+08:00,present_directory,entries_recursive=74
Step 12,docs/step12_minimal_ros_rviz_smoke_test_and_demo_evidence.md,true,markdown,12367,2026-04-25T11:35:51+08:00,present_not_machine_checked,
Step 12,docs/step12_minimal_ros_rviz_smoke_test_and_demo_evidence.csv,true,csv,4984,2026-04-25T11:35:19+08:00,valid_csv,rows=20 columns=4 column_names=task|status|evidence|notes
Step 12,docs/step12b_ros_runtime_reconciliation.md,true,markdown,5759,2026-04-25T11:35:19+08:00,present_not_machine_checked,
Step 12,docs/step12b_ros_runtime_reconciliation.csv,true,csv,2811,2026-04-25T11:35:19+08:00,valid_csv,rows=14 columns=4 column_names=task|status|evidence|notes
Step 12,runtime_stage1_frozen_evidence/step12_ros_rviz_smoke_test,true,directory,4096,2026-04-25T11:22:32+08:00,present_directory,entries_recursive=37
Step 12,runtime_stage1_frozen_evidence/step12b_ros_runtime_smoke,true,directory,4096,2026-04-25T11:33:36+08:00,present_directory,entries_recursive=1384
Step 12,runtime_stage1_frozen_evidence/step12b_ros_runtime_reconciliation,true,directory,4096,2026-04-25T11:40:22+08:00,present_directory,observed alternate/static reconciliation evidence root; entries_recursive=47
Step 13,docs/step13_wsl_rviz_visual_smoke_test_and_demo_packaging.md,true,markdown,8069,2026-04-26T11:23:20+08:00,present_not_machine_checked,
