optimization_candidate,file_or_path,pipeline_stage,currently_on_main_path,evidence_supported,likely_benefit,engineering_risk,semantic_risk,parity_risk,recommended_action,notes
stage5_candidate_floor_assignment_further_reduction,"demo.py:_build_floor_scoped_candidate_mask(...)|demo.py:1495-1566|demo.py:1714-1746",stage5_candidate_mask_prep,yes,partial,medium,medium,medium,medium,defer,"Still the largest Stage-5 sub-bucket on large scenes even after BOXFUSION_STAGE5_CANDIDATE_INDEX_CACHE=1; readonly-room lookup is already negligible, so any further win likely needs more aggressive indexing or retained-history assumptions."
snapshot_export_object_and_anchor_incrementalization,"boxfusion/floor_aware_room_segmenter.py:get_vector_map_data(...)|boxfusion/floor_aware_room_segmenter.py:2499-2746|boxfusion/floor_aware_room_segmenter.py:980-1067",snapshot_export_materialization,yes,partial,medium,medium,medium,medium,only if time allows,"Object export and anchor build still dominate per-export cost, especially on 00862, but room-local delta export and anchor reuse are already active, so the remaining headroom is smaller and riskier."
core_only_dead_gt_pointcloud_prep_cleanup,"stage_a_demo.py:155-165|stage_a_demo.py:246-269|stage_a_demo.py:479|demo.py:1033-1048",preinfer_gt_visualization_prep,yes,yes,low,low,low,low,only if time allows,"Core-only benchmark runs still prepare GT xyzrgb even though rerun is normally off and save_point_cloud is off under the adopted path."
keyframe_rgb_depth_resize_cleanup,"demo.py:1131-1140|boxfusion/capture_stream.py:829|boxfusion/capture_stream.py:863",keyframe_pointcloud_accumulation,yes,yes,low,low,low,low,only if time allows,"HM3D samples already resize RGB and depth to the configured size, but the keyframe observation path still does a PIL resize before concatenating color with unprojected depth."
segmentation_merge_and_downsample_further_acceleration,"demo.py:1187-1200|boxfusion/floor_aware_room_segmenter.py:1484-1513|boxfusion/dynamic_room_segmenter.py",stage3_segmentation_refresh,yes,yes,low,high,medium,medium,do not pursue,"Segmentation refresh still costs real time, but it is cadence-limited by --room-seg-interval 100 and is no longer the main bottleneck; deeper wins likely imply algorithm/native changes outside scope."
boxfusion_internal_scan_or_queueing,"boxfusion/box_fusion.py:628-781",boxfusion,yes,partial,low,medium,medium,medium,do not pursue,"BoxFusion still scans the retained set, but measured boxfusion_total_sec is not the dominant Stage-5 cost on the adopted path."
finalize_public_bundle_optimization,"boxfusion/stage_a_demo.py:1347-1501|boxfusion/room_scoped_runtime.py:485-540",finalize_export,partial,yes,low,low,low,low,do not pursue,"With --suppress-service-debug-artifacts enabled, total_finalize_export_sec is already tiny relative to end-to-end runtime."
same_frame_export_cache_further_work,"demo.py:111-124|boxfusion/floor_aware_room_segmenter.py:482-542|boxfusion/floor_aware_room_segmenter.py:816-867",duplicate_export_avoidance,yes,yes,low,low,low,low,do not pursue,"The adopted path currently shows zero duplicate same-frame exports and zero same-frame cache hits, so more work here has no demonstrated payoff."
capture_stride_as_general_runtime_optimization,"boxfusion/stage_a_demo.py:792-797|stage_a_demo.py:496|docs/00862_parity_triage_capture_stride_followup.md",snapshot_lifecycle_cadence,yes,yes,high,low,high,high,defer,"00862 already proved capture-stride changes final committed/public parity; treat it as a semantics-relevant cadence knob, not a general optimization target."
room_seg_interval_as_general_runtime_optimization,"demo.py:1186|stage_a_demo.py:483",segmentation_cadence,yes,partial,medium,low,high,high,defer,"Changing room segmentation cadence likely changes exported room topology and lifecycle observation timing, so it should stay an experiment variable rather than the next performance project."
history_windowing_or_per_frame_ins_pruning,"demo.py:1490-1494|demo.py:1822|boxfusion/instances.py",association_history_management,yes,partial,medium,high,high,high,do not pursue,"More aggressive history pruning could reduce host-side pressure, but it would alter retained-history association semantics and risk benchmark parity."
candidate2_fast_depth_stats_mode_kthvalue,"boxfusion/preprocessor.py:23|boxfusion/preprocessor.py:119-152",depth_preprocess_optional_path,no,partial,low,low,medium,medium,do not pursue,"Remains opt-in only and outside the adopted benchmark/paper recipe; keep it as a low-priority optional path."
shadow_sidecar_and_working_topology_surfaces,"boxfusion/runtime_export_coordinator.py:250-260|boxfusion/sidecar_exporter.py:78-130|boxfusion/ros_query_server.py:361-367",shadow_debug_exports,no,yes,low,low,low,low,do not pursue,"These surfaces are non-authoritative or explicitly rejected as public query inputs; they should not drive further runtime optimization decisions for the Stage-A benchmark path."
