asset_path,asset_type,referenced_by,used_in_main_stage_a_path,classification,notes
models/cutr_rgbd.pth,detector_checkpoint,"stage_a_demo.py:468; stage_a_demo.py:537-545; boxfusion/ros_simulation_ingress.py:70; boxfusion_ros_query_server/launch/simulation_ingress.launch.py:114-118",yes,active_main_path,"Required BoxFusion / Cubify RGB-D checkpoint. Archive metadata shows backbone.0.patch_embed.proj.weight shape 768x3x16x16. Ignored by .gitignore."
models/ViT-B-32/open_clip_pytorch_model.bin,clip_checkpoint,"stage_a_demo.py:47-56; boxfusion/ros_simulation_ingress.py:71; boxfusion/ros_simulation_ingress.py:1023-1028; boxfusion_ros_query_server/launch/simulation_ingress.launch.py:119-123",yes,active_main_path,"Preferred Stage-A CLIP checkpoint. Paired with --clip-model-name ViT-B-32 and data/class_features_small.pt. Ignored by .gitignore."
"models/ViT-B-32/{config.json,open_clip_config.json}",clip_package_metadata,"models/ViT-B-32/open_clip_config.json; models/ViT-B-32/config.json",no,present_not_clearly_referenced,"Useful for identifying the local ViT-B-32 package (512-d embed, patch 32), but repo code does not explicitly open these files."
"models/ViT-B-32/{preprocessor_config.json,tokenizer.json,tokenizer_config.json,special_tokens_map.json,vocab.json,merges.txt}",clip_package_metadata,"models/ViT-B-32/*",no,present_not_clearly_referenced,"Ancillary HF/OpenCLIP package files. The runnable Stage-A code uses open_clip.create_model_and_transforms(...) and open_clip.get_tokenizer(...) without directly pointing at these files."
models/open_clip_pytorch_model.bin,clip_checkpoint,"stage_a_demo.py:47-56; demo.py:2029; README.md:49-54",no,fallback_legacy,"Root-level CLIP checkpoint remains a fallback in stage_a_demo.py and the default in the older demo.py CLI. README documents it as the downloaded CLIP-ViT-H-14 checkpoint; archive metadata is consistent with a larger 1024-d ViT-H-14-style model. Ignored by .gitignore."
"models/segformer-b0-finetuned-ade-512-512/{config.json,preprocessor_config.json,pytorch_model.bin,model.safetensors,tf_model.h5}",segmentation_checkpoint_package,"boxfusion/segmentor.py:7-11",no,present_unreferenced,"Loaded only by SceneSegmenter in boxfusion/segmentor.py. Repo-wide search found no imports or call sites from the runnable Stage-A backend. Ignored by .gitignore."
data/class_features_small.pt,text_feature_tensor,"stage_a_demo.py:59-68; stage_a_demo.py:79-85; gen_features.py:11-44; boxfusion/ros_simulation_ingress.py:72; boxfusion_ros_query_server/launch/simulation_ingress.launch.py:124-127",yes,active_main_path,"Preferred text-feature tensor for the current ViT-B-32 setup. Archive metadata shows shape 473x512. Ignored by .gitignore."
data/class_features.pt,text_feature_tensor,"stage_a_demo.py:59-68; demo.py:2110-2114",no,fallback_legacy,"Fallback text-feature tensor if class_features_small.pt is absent or not selected. Archive metadata shows shape 473x1024, matching the legacy larger CLIP checkpoint. Tracked in git."
data/panoptic_categories_nomerge.txt,class_label_file,"stage_a_demo.py:472; stage_a_demo.py:555; demo.py:2031; gen_features.py:11; stage_a_eval/run_paper_ablation_harness.py:72; tools/analyze_same_frame_object_deltas.py:500",yes,active_main_path,"Main open-vocabulary class list. wc -l reports 473 labels. Tracked in git."
data/pst_1024_0.tiff,boxfusion_lookup_asset,"config/hm3d.yaml:53; config/online.yaml:58; config/scannet.yaml:52; config/ca1m.yaml:51; boxfusion/box_fusion.py:32-33",yes,active_main_path,"PST lookup table consumed by BoxFusion for multi-view box fusion. Tracked in git."
data/train.txt,dataset_split_list,"README.md data-preparation sections",no,present_but_not_runtime,"CA-1M split / download list. Not consumed by the Stage-A runtime backend."
data/val.txt,dataset_split_list,"README.md:69; evaluation docs",no,present_but_not_runtime,"CA-1M evaluation split / download list. Not consumed by the Stage-A runtime backend."
/home/ami/zn_ws/hm3dsem_walks/val/<seq>/{rgb/*,depth/*,pose/*.txt},external_runtime_input,"config/hm3d.yaml:3-17; boxfusion/capture_stream.py:731-742",yes,external_runtime_dependency,"Expected RGB-D plus provided-pose layout for HM3D runs. This dependency lives outside the repo."
<CA1M_seq>/{rgb/*,depth/*,all_poses.npy,K_depth.txt},external_runtime_input,"config/ca1m.yaml:3-13; boxfusion/capture_stream.py:535-562; boxfusion/capture_stream.py:585-586",unclear,external_runtime_dependency,"Required when the backend is run on CA-1M instead of HM3D. The current paper-safe examples in this workspace are HM3D-heavy, but the Stage-A code path supports CA-1M."
analysis/tier2_cross_scene_eval/output/summary.json,optional_policy_artifact,"config/hm3d.yaml:35-37; boxfusion/tier2_enablement.py:200-227",unclear,missing_optional,"Configured as the Tier-2 auto policy artifact for room segmentation in hm3d.yaml, but missing in the current workspace. When absent, Tier-2 auto mode is disabled."
logs/topology_v0_1.json,exported_artifact,"boxfusion/room_scoped_runtime.py:487-496; stage_a_topology_query.py:9-57; stage_a_eval/run_backend_eval.py:178-185; boxfusion/vln_tool_use.py:105-115",yes,downstream_artifact_not_model,"Not a model asset, but the key committed/public export consumed by artifact-backed queries and routing."
logs/committed_room_world_model_v0_1.json,exported_artifact,"boxfusion/room_scoped_runtime.py:489-499; stage_a_room_graph_vln_demo.py:24-101; boxfusion/room_graph_vln_demo.py:1094-1167",yes,downstream_artifact_not_model,"Committed room semantic summary export used by room-graph VLN semantic goal resolution."
