"mechanism_or_signal","file_or_path","type","exists_now","active_in_main_path","description","evidence","relevance_to_room_rebirth","current_role","practical_importance","notes"
"OnlineTopologyLifecycleManager","boxfusion/online_topology_lifecycle.py; boxfusion/stage_a_demo.py","runtime_lifecycle_manager","yes","yes","Tracks room lifecycle states, dirty reasons, stability counters, candidate/commit blockers, and publication diagnostics.","`boxfusion/online_topology_lifecycle.py:49-52`; `boxfusion/online_topology_lifecycle.py:149-208`; `boxfusion/stage_a_demo.py:872-886`.","indirect","Main-path room stabilization, commit gating, and publication-state tracking.","high","Real runtime machinery, but not a rebirth matcher."
"RoomScopedRuntimeManager","boxfusion/room_scoped_runtime.py; boxfusion/stage_a_demo.py","runtime_commit_publication_manager","yes","yes","Commits rooms that satisfy lifecycle conditions and exports committed/public topology, world model, and snapshot artifacts.","`boxfusion/room_scoped_runtime.py:185-290`; `boxfusion/room_scoped_runtime.py:390-534`; `boxfusion/stage_a_demo.py:1367-1371`.","indirect","Main-path commit/public projection and bounded local-plus-committed memory.","high","Uses accepted room IDs; does not restore old IDs onto new births."
"Dynamic room IoU tracking","boxfusion/dynamic_room_segmenter.py; boxfusion/floor_aware_room_segmenter.py","room_id_tracking","yes","yes","Carries room IDs forward by mask IoU and retains missing rooms for a bounded `tracking_missed_cycles` window.","`boxfusion/dynamic_room_segmenter.py:47-48`; `boxfusion/dynamic_room_segmenter.py:1000-1082`; `boxfusion/floor_aware_room_segmenter.py:1523-1540`.","indirect","Short-window room-ID continuity during segmentation refreshes.","high","Closest existing identity persistence behavior."
"Floor local-to-world room ID mapping","boxfusion/floor_aware_room_segmenter.py","room_id_namespace_translation","yes","yes","Maps per-floor local room IDs into a world-room namespace through `local_to_world_room_id`.","`boxfusion/floor_aware_room_segmenter.py:36`; `boxfusion/floor_aware_room_segmenter.py:1523-1540`.","weak","Namespace continuity across floors/exports.","medium","This is ID translation, not rebirth handling."
"Leave-like signal v1","boxfusion/online_topology_lifecycle.py","commit_signal","yes","yes","Treats a room as leave-like when it is no longer active and either has a departed frame or enough stable export observations.","`boxfusion/online_topology_lifecycle.py:1023-1028`; `boxfusion/online_topology_lifecycle.py:1279-1296`.","none","Candidate formation and publication diagnostics.","high","Important for lifecycle/publication, not for identity persistence."
"Room signature stability","boxfusion/online_topology_lifecycle.py","stability_signal","yes","yes","Hashes quantized room geometry and metadata and tracks stability counts across exports.","`boxfusion/online_topology_lifecycle.py:318-321`; `boxfusion/online_topology_lifecycle.py:524-537`; `boxfusion/online_topology_lifecycle.py:1085-1111`.","weak","Stabilization and commit gating.","high","Looks identity-related, but current use is stability only."
"Gateway structure stability","boxfusion/online_topology_lifecycle.py","stability_signal","yes","yes","Hashes per-room gateway structure and counts stable refreshes.","`boxfusion/online_topology_lifecycle.py:345-349`; `boxfusion/online_topology_lifecycle.py:539-552`; `boxfusion/online_topology_lifecycle.py:1114-1164`.","weak","Stabilization and commit gating.","high","No runtime rematching use found."
"Containment stability","boxfusion/online_topology_lifecycle.py","stability_signal","yes","yes","Hashes object/anchor containment per room and tracks stability counts.","`boxfusion/online_topology_lifecycle.py:350`; `boxfusion/online_topology_lifecycle.py:554-560`; `boxfusion/online_topology_lifecycle.py:1167-1196`.","weak","Stabilization and commit gating.","high","Not currently used to reconnect a new room to an old dropped room."
"Floor validation and vertical-transition blockers","boxfusion/online_topology_lifecycle.py; boxfusion/floor_aware_room_segmenter.py","commit_blockers","yes","yes","Uses floor status, room-floor validation, and vertical-transition completeness as commit/publication blockers.","`boxfusion/online_topology_lifecycle.py:1046-1061`; vector-map floor validation and vertical-transition summaries come from `boxfusion/floor_aware_room_segmenter.py:577-620`.","weak","Publication safety and stabilization.","medium","Important lifecycle blockers, but not identity persistence."
"Room topology adjacency/gateway/transition evidence","boxfusion/room_topology.py","topology_relation_builder","yes","yes","Builds adjacency, transition, and vertical-transition evidence from gateways, polygon proximity, and transition history.","`boxfusion/room_topology.py:1442-1705`.","weak","Connectivity/topology modeling.","medium","Useful future hook; not a rebirth matcher today."
"Committed room world model summaries and stable_room_id field","boxfusion/room_scoped_runtime.py","committed_room_summary_export","yes","yes","Exports committed room summaries, object composition, connectivity, and a `stable_room_id` field equal to the committed room ID.","`boxfusion/room_scoped_runtime.py:390-458`; `boxfusion/room_scoped_runtime.py:653-685`.","weak","Public/default committed-room summary surface.","high","This is an export hook, not a separate identity-restoration mechanism."
"Selective committed history retrieval","boxfusion/room_scoped_runtime.py","retrieval_hook","yes","yes","Ranks committed rooms by adjacency, same-floor status, and distance for bounded local fusion context.","`boxfusion/room_scoped_runtime.py:185`; `boxfusion/room_scoped_runtime.py:559-607`.","indirect","Retrieval context for local runtime fusion.","medium","Potentially useful for future rebirth logic, but not used that way now."
"REVISITABLE lifecycle state","boxfusion/online_topology_lifecycle.py","lifecycle_state","yes","yes","Marks a room revisitable when the same room ID is observed again after departure.","`boxfusion/online_topology_lifecycle.py:49-52`; `boxfusion/online_topology_lifecycle.py:276-291`.","weak","Same-ID revisit bookkeeping.","medium","Assumes identity was already preserved; it does not recover a lost identity."
"Explicit room rebirth / re-identification mechanism","boxfusion/online_topology_lifecycle.py; boxfusion/room_scoped_runtime.py; boxfusion/floor_aware_room_segmenter.py","missing_runtime_capability","no","no","No runtime code was found that matches a newly created room back to a previously dropped room using signatures, summaries, topology, or containment.","Negative evidence from inspected runtime files: signatures are used for stability (`online_topology_lifecycle.py:524-560`), export cache (`floor_aware_room_segmenter.py:1098-1185`), and summaries/retrieval (`room_scoped_runtime.py:390-458`, `559-607`).","direct","Missing capability.","high","Direct answer to the rebirth question is no."
"Implicit rebirth-like continuity via same-ID survival","boxfusion/dynamic_room_segmenter.py; boxfusion/online_topology_lifecycle.py","emergent_behavior","partial","yes","A room can appear persistent if IoU tracking keeps the same ID alive or if it survives brief absence within `tracking_missed_cycles`.","`boxfusion/dynamic_room_segmenter.py:1000-1082`; `boxfusion/online_topology_lifecycle.py:276-291`.","weak","Bounded continuity while the same room ID survives.","high","Stops short of true rebirth once the old ID is gone."
"RevisitDetector heuristic","boxfusion/stage_a_demo.py","demo_heuristic","yes","yes","Uses pose proximity and room re-entry heuristics to emit revisit events during recording.","`boxfusion/stage_a_demo.py:611-708`; `boxfusion/stage_a_demo.py:830-849`.","weak","Demo/presentation diagnostics.","medium","Not used to change authoritative room identity."
"Working-vs-committed topology and room-commit diagnosis","boxfusion/stage_a_demo.py; boxfusion/working_vs_committed_topology_timeline.py; boxfusion/room_commit_diagnosis.py","debug_diagnostics","yes","debug-only","Builds debug artifacts that explain withheld rooms, blocker evolution, and commit/publication gaps.","`boxfusion/stage_a_demo.py:1407-1490`; `boxfusion/working_vs_committed_topology_timeline.py`; `boxfusion/room_commit_diagnosis.py`.","indirect","Debug analysis of stabilization/publication behavior.","medium","Important for diagnosis, not for identity persistence."
"Birth/persistence/fragmentation analyses","stage_a_eval/analyze_birth_baseline_generic.py; stage_a_eval/analyze_00843_birth_baseline.py; stage_a_eval/analyze_00843_local_room_debug.py; stage_a_eval/analyze_00843_right_pocket_bridge_decomposition.py","offline_analysis","yes","analysis-only","Offline/debug-room studies measure birth support, persistence proxies, and local fragmentation behavior.","`stage_a_eval/analyze_birth_baseline_generic.py:29-177`; `stage_a_eval/analyze_00843_birth_baseline.py:104-194`; `stage_a_eval/analyze_00843_local_room_debug.py:1-220`; `stage_a_eval/analyze_00843_right_pocket_bridge_decomposition.py:237-250`.","indirect","Analysis tooling for segmentation stability studies.","medium","These studies exist, but they do not implement runtime rebirth."
"Segmenter self-report: no online leave signal / no incremental online topology","boxfusion/floor_aware_room_segmenter.py; demo.py","self_reported_capability_gap","yes","yes","The segmenter explicitly reports no room leave signal and no incremental online topology trigger structures; updates happen on scheduled segmentation refresh plus full rebuild.","`boxfusion/floor_aware_room_segmenter.py:1440-1467`; `demo.py:851-863`.","indirect","Explicit statement of current lifecycle/topology limits.","high","Important guardrail against overstating online lifecycle sophistication inside the segmenter itself."
